"","t_name","year","bird_id","band","sex","max_dist","total_dist","start_date","end_date","duration","bathyAvg","bathyMax","bathyVar","A","max_lat","max_long","max_gmt","Tout","Tback","Yno.trips","Tno.trips","no.years","X","meandir","bird.id","no.previous.attempts","earliest.attempt","attempt.status","year_banded","status_banded","age_chicks","home_lat","home_long","max_bearing","hemisphere"
"51","ID11_2016 305","2016","ID11_2016","13193063","F",230389.5,1196156.20411793,2016-10-08 23:27:23,2016-10-13 03:26:18,4.16591435185185,-65.0176056338028,-104,805.02614452145,0.1926082055227,-38.74797,143.0015,2016-10-11 06:02:34,2.27443287037037,1.89148148148148,1,4,2,4,118.056362097962,12051,5,1998,"F",1988,"adult",NA,-40.3780953,144.6557384,-38.678008968868,"west"
"52","ID12_2013 16","2013","ID12_2013","13206117","M",211648.7,2870870.90409532,2013-09-25 01:16:55,2013-09-30 23:55:41,5.94358796296296,-180.960256410256,-1871,71004.8649139265,0.073722820381119,-39.1953,142.7184,2013-09-27 05:11:17,2.16275462962963,3.78083333333333,1,1,1,2,107.358228042665,15604,6,2000,"F",2000,"adult",NA,-40.3780953,144.6557384,-52.2664337701544,"west"
"53","ID12_2016 306","2016","ID12_2016","28013049","M",359595.5,1822535.87046082,2016-10-07 23:50:59,2016-10-11 20:32:00,3.86181712962963,-538.388446215139,-5048,1797679.00449698,0.197305032964359,-41.41848,140.6093,2016-10-09 03:45:42,1.16299768518519,2.69881944444444,1,1,1,4,118.056362097962,33973,8,2001,"F",1995,"chick",21,-40.3780953,144.6557384,-110.036296433833,"west"
"54","ID13_2013 17","2013","ID13_2013","28010792","F",187130.7,744753.371196685,2013-09-25 01:24:45,2013-09-27 07:39:24,2.26017361111111,-48.1681957186544,-102,1123.81518170391,0.25126532787534,-39.05038,143.3153,2013-09-26 05:37:02,1.17519675925926,1.08497685185185,1,1,1,2,107.358228042665,32323,10,1994,"F",1988,"chick",25,-40.3780953,144.6557384,-38.3740291409138,"west"
"55","ID14_2013 18","2013","ID14_2013","UB","M",107009.4,578940.38723199,2013-09-25 02:25:22,2013-09-26 21:35:15,1.79853009259259,-71.8210116731517,-177,1170.38190053502,0.184836647019272,-40.29095,143.3999,2013-09-26 01:01:02,0.941435185185185,0.857094907407407,1,NA,NA,2,107.358228042665,NA,NA,NA,NA,NA,NA,NA,-40.3780953,144.6557384,-85.2253736958253,"west"
"56","ID15_2013 19","2013","ID15_2013","28010815","M",146620.8,1297328.86027644,2013-09-25 02:33:22,2013-09-27 22:50:04,2.84493055555556,-128.535,-815,14603.1817293233,0.113017450308441,-41.68263,144.415,2013-09-25 10:13:47,0.319733796296296,2.52519675925926,2,2,1,2,107.358228042665,32346,15,1994,"S",1988,"chick",25,-40.3780953,144.6557384,-172.123646815679,"west"
"57","ID15_2013 20","2013","ID15_2013","28010815","M",160224.1,1217193.17318164,2013-09-28 01:07:49,2013-09-30 21:50:47,2.8631712962963,-103.870229007634,-577,6015.07240224334,0.131634077096561,-38.95192,144.9079,2013-09-29 17:59:04,1.70225694444444,1.16091435185185,2,2,1,2,107.358228042665,32346,15,1994,"S",1988,"chick",25,-40.3780953,144.6557384,7.86195009910303,"east"
"58","ID16_2013 21","2013","ID16_2013","28010656","M",184399.6,1154827.31172361,2013-09-25 02:15:29,2013-09-27 23:37:46,2.89047453703704,-255.616580310881,-1401,93885.0629971065,0.159677207256883,-42.03316,144.7469,2013-09-26 12:01:06,1.40667824074074,1.4837962962963,1,2,2,2,107.358228042665,32207,13,1994,"S",1987,"chick",26,-40.3780953,144.6557384,177.647943269738,"east"
"59","ID17_2013 22","2013","ID17_2013","13228310","F",167667.1,939871.465332489,2013-09-25 07:09:17,2013-09-28 06:02:01,2.95328703703704,-55.8502415458937,-102,941.745072580739,0.178393648689703,-39.06326,143.7005,2013-09-27 01:18:36,1.75646990740741,1.19681712962963,1,1,1,2,107.358228042665,39124,1,2012,"S",2006,"chick",7,-40.3780953,144.6557384,-29.600304955595,"west"
"60","ID18_2013 23","2013","ID18_2013","13204704","F",8671.963,23021.7339262698,2013-09-25 06:20:17,2013-09-25 08:13:48,0.0788310185185185,-5.84615384615385,-9,9.14102564102564,0.376685918956979,-40.45147,144.6214,2013-09-25 07:16:06,0.0387615740740741,0.0400694444444444,2,4,2,2,107.358228042665,14192,0,2013,"F",2000,"chick",13,-40.3780953,144.6557384,-160.328809646468,"west"
